productAsin,country,isVerified,ratingScore,reviewTitle,reviewDescription,reviewUrl,reviewedIn,variant,variantAsin,lemmatized_reviewDescription,stemmed_reviewDescription,color,size,word_count,any_neg,char_count,sentiment,sentiment_label
B09G9BL5CP,India,True,4,No charger,"Every thing is good about iPhones, there's nothing compared to it's speed and ios but i was disappointed because there's no charger for it even though Indian judiciary told them to provide , still they haven't made any progress regarding charger. Why should we spend 62k and more than that for iPhones because of it's brand and Acessories comfort size and Features right if that's not there what's point of buying an iPhone.Thank you🙏",https://www.amazon.in/gp/customer-reviews/R345SEIPU4N2XD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 11 August 2024,Colour: MidnightSize: 256 GB,B09G9BQS98,every thing good iphones there nothing compared speed io disappointed there charger even though indian judiciary told provide still havent made progress regarding charger spend 62k iphones brand acessories comfort size feature right thats whats point buying iphone thank,everi thing good iphon there noth compar speed io disappoint there charger even though indian judiciari told provid still havent made progress regard charger spend 62k iphon brand acessori comfort size featur right that what point buy iphon thank,midnight,256GB,39,0,232,0.3544,positive
B09G9BL5CP,India,True,5,iPhone 13 256GB,"It look so fabulous, I am android user switched to apple, performance wise iPhone is more better than android due to A15 Bionic chip. I feel pleasant while using iPhone in hand. I like it very much 😍❤️",https://www.amazon.in/gp/customer-reviews/R2HJRJW7MRIVNL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 16 August 2024,Colour: MidnightSize: 256 GB,B09G9BQS98,look fabulous android user switched apple performance wise iphone better android due a15 bionic chip feel pleasant using iphone hand like much,look fabul android user switch appl perform wise iphon better android due a15 bionic chip feel pleasant use iphon hand like much,midnight,256GB,22,0,121,0.9545,positive
B09G9BL5CP,India,True,4,Flip camera option nill,"I tried to flip camera while recording but no facility is added here. You have to pause first then you can flip from back to front or vice versa it means you can't continue it, very awkward position. Iphone software should be upgraded so that we can make it go. It's very essential for a content creator. I purchased gimbal dji om se but it could not provided that, it's very essential for a vlogger but I was fed up after finding the basic requirements wasn't built in these products !",https://www.amazon.in/gp/customer-reviews/R3Y7TPOGMY40P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 14 May 2024,Colour: MidnightSize: 256 GB,B09G9BQS98,tried flip camera recording facility added pause first flip back front vice versa mean cant continue awkward position iphone software upgraded make go essential content creator purchased gimbal dji om se could provided essential vlogger fed finding basic requirement wasnt built product,tri flip camera record facil ad paus first flip back front vice versa mean cant continu awkward posit iphon softwar upgrad make go essenti content creator purchas gimbal dji om se could provid essenti vlogger fed find basic requir wasnt built product,midnight,256GB,42,0,245,0.1139,positive
B09G9BL5CP,India,True,5,Product,100% genuine,https://www.amazon.in/gp/customer-reviews/R1P9A1G2E3ZB7L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 24 June 2024,Colour: MidnightSize: 256 GB,B09G9BQS98,100 genuine,100 genuin,midnight,256GB,2,0,10,0.0,negative
B09G9BL5CP,India,True,5,Good product,Happy to get the iPhone 13 in Amazon offer,https://www.amazon.in/gp/customer-reviews/R1XI5GCQ8WH1LV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 18 May 2024,Colour: MidnightSize: 256 GB,B09G9BQS98,happy get iphone 13 amazon offer,happi get iphon 13 amazon offer,midnight,256GB,6,0,27,0.6597,positive
B09G9BL5CP,India,True,5,Too smooth and effective battery life,5 star 👍,https://www.amazon.in/gp/customer-reviews/R3J3YN2SLDE72Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 14 May 2024,Colour: MidnightSize: 256 GB,B09G9BQS98,5 star,5 star,midnight,256GB,2,0,5,0.0,negative
B09G9BL5CP,India,True,5,Apple 13 256 GB,"Great Product... Nothing to say, as the Name APPLE is own identity of this product.. All is well, recommendation is 100% . Just grab this product else you missed something....",https://www.amazon.in/gp/customer-reviews/R2ZMQV9EEYDF4K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 28 January 2024,Colour: MidnightSize: 256 GB,B09G9BQS98,great product nothing say name apple identity product well recommendation 100 grab product else missed something,great product noth say name appl ident product well recommend 100 grab product els miss someth,midnight,256GB,16,0,97,0.6124,positive
B09G9BL5CP,India,True,5,Good,Good product 😀💯,https://www.amazon.in/gp/customer-reviews/R1XF1WDLPLST8I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 1 March 2024,Colour: MidnightSize: 256 GB,B09G9BQS98,good product,good product,midnight,256GB,2,0,11,0.4404,positive
B09G9BL5CP,India,True,4,Good,Nice product,https://www.amazon.in/gp/customer-reviews/R2QA6GV3Q80RB2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 14 November 2023,Colour: MidnightSize: 256 GB,B09G9BQS98,nice product,nice product,midnight,256GB,2,0,11,0.4215,positive
B09G9BL5CP,India,True,5,Excellent,Excellent product,https://www.amazon.in/gp/customer-reviews/R322E11GD7VP55/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 3 February 2024,Colour: MidnightSize: 256 GB,B09G9BQS98,excellent product,excel product,midnight,256GB,2,0,16,0.5719,positive
